Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Libaas,1988,137,Drama,8.2,37,Gulzar,Shabana Azmi,Utpal Dutt,Naseeruddin Shah
Sone Pe Suhaaga,1988,163,"Action, Family",4.8,90,K. Bapaiah,Jeetendra,Dharmendra,Nutan
Yateem,1988,173,"Action, Drama",6.3,197,J.P. Dutta,Sunny Deol,Farha Naaz,Danny Denzongpa
Khatron Ke Khiladi,1988,156,"Action, Drama",4.8,181,Rama Rao Tatineni,Dharmendra,Sanjay Dutt,Chunky Panday
Soorma Bhopali,1988,153,Comedy,5.6,60,Jagdeep,Jagdeep,Agha,Amitabh Bachchan
Kabzaa,1988,143,"Action, Crime, Drama",5.9,185,Mahesh Bhatt,Raj Babbar,Sanjay Dutt,Amrita Singh
Dariya Dil,1988,146,Drama,5.1,191,K. Ravi Shankar,Govinda,Kimi Katkar,Roshni
Do Waqt Ki Roti,1988,110,Action,6.4,24,Satpal,Feroz Khan,Sanjeev Kumar,Reena Roy
Falak The Sky,1988,166,"Action, Crime, Drama",6,45,Shashilal K. Nair,Rakhee Gulzar,Jackie Shroff,Shekhar Kapur
Pestonjee,1988,125,"Comedy, Drama",7.1,206,Vijaya Mehta,Shabana Azmi,Cyprus Dastoor,Dady Dustoor
Hatya,1988,151,"Action, Crime, Drama",6.9,390,Kirti Kumar,Govinda,Neelam Kothari,Raj Kiran
Gunahon Ka Faisla,1988,169,Action,4.9,14,Shibu Mitra,Shatrughan Sinha,Dimple Kapadia,Chunky Panday
Aaj Ke Angaarey,1988,128,"Action, Drama",5,26,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
Veerana,1988,135,"Action, Drama, Horror",6.6,718,Shyam Ramsay,Tulsi Ramsay,Jasmin,Hemant Birje
Ghar Mein Ram Gali Mein Shyam,1988,136,"Drama, Family, Action",4.7,43,Subhash Sonik,Beena Banerjee,Rita Bhaduri,Govinda
Waaris,1988,150,Drama,6.7,142,Ravindra Peepat,Smita Patil,Amrita Singh,Raj Babbar
Paap Ki Duniya,1988,168,"Action, Drama, Romance",5,103,Shibu Mitra,Sunny Deol,Neelam Kothari,Pran
Shoorveer,1988,147,Drama,5,8,Shyam Ralhan,Rajan Sippy,Mandakini,Deepti Naval
Bhayaanak Mahal,1988,113,Horror,3.4,8,Baby,Babu Antony,Ravi,Jaya Rekha
Pyar Ka Mandir,1988,148,"Drama, Family",6.5,96,K. Bapaiah,Mithun Chakraborty,Madhavi,Bharat Bhushan
Hitler,1988,138,"Action, Crime, Drama",5.4,53,T.L.V. Prasad,Mithun Chakraborty,Shilpa Shirodkar,Manek Bedi
Aryan,1988,181,"Action, Drama",7,283,Priyadarshan,Mohanlal,Ramya Krishnan,Bob Christo
Paap Ko Jalaa Kar Raakh Kar Doonga,1988,153,Crime,5.4,67,K.R. Reddy,Dharmendra,Govinda,Anita Raj
7 Bijliyaan,1988,126,Action,5,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
Commando,1988,149,"Action, Drama, Romance",4.2,171,Babbar Subhash,Mithun Chakraborty,Mandakini,Hemant Birje
Zindagi Ek Safar,1988,120,"Documentary, Biography, Musical",8.2,33,Sandip Ray,Kishore Kumar,Amitabh Bachchan,Asha Bhosle
Mera Shikar,1988,141,Action,3.9,7,Keshu Ramsay,Dimple Kapadia,Kabir Bedi,Danny Denzongpa
Tamacha,1988,165,"Action, Romance",4,50,Ramesh Ahuja,Jeetendra,Rajinikanth,Amrita Singh
Waqt Ki Awaz,1988,156,"Action, Crime, Drama",6.3,97,K. Bapaiah,Vikas Anand,Asrani,Mithun Chakraborty
Rihaee,1988,158,Drama,6.7,75,Aruna Raje,Vinod Khanna,Hema Malini,Naseeruddin Shah
Vijay,1988,172,"Action, Drama, Romance",5.6,219,Yash Chopra,Anil Kapoor,Rajesh Khanna,Rishi Kapoor
Khoon Bhari Maang,1988,172,"Drama, Thriller, Action",6.6,"1,024",Rakesh Roshan,Rekha,Kabir Bedi,Sonu Walia
Shiva Shakti,1988,153,"Action, Crime, Drama",4.7,29,Anand,Shatrughan Sinha,Govinda,Anita Raj
Return of Robin Hood,1988,80,Drama,7,27,Tapan Sinha,Anil Chatterjee,Utpal Dutt,Rabi Ghosh
Aurat Teri Yehi Kahani,1988,149,Drama,4.2,16,Mohanji Prasad,Shoma Anand,Vikas Anand,Raj Babbar
Hero Hiralal,1988,146,"Action, Comedy, Drama",6.2,263,Ketan Mehta,V. Menon,Naseeruddin Shah,Sanjana Kapoor
Agnee,1988,153,"Action, Drama, Romance",5.1,29,J. Om Prakash,Mithun Chakraborty,Chunky Panday,Amrita Singh
Om DarBDar,1988,101,Drama,7.1,438,Kamal Swaroop,Anita Kanwar,Gopi Desai,Lalit Tiwari
Zalzala,1988,169,"Action, Adventure",6,78,Harish Shah,Dharmendra,Karan Kapoor,Shatrughan Sinha
Permission,1987,137,"Drama, Musical, Romance",8.3,"1,391",Gulzar,Rekha,Naseeruddin Shah,Anuradha Patel
Pyar Ki Jeet,1987,146,"Comedy, Drama, Musical",7.4,37,Saawan Kumar Tak,Shashi Kapoor,Vinod Mehra,Rekha
Khudgarz,1987,158,Drama,5.8,293,Rakesh Roshan,Jeetendra,Shatrughan Sinha,Bhanupriya
Kaash,1987,140,Drama,6.3,197,Mahesh Bhatt,Jackie Shroff,Dimple Kapadia,Master Makrand
Anjaam,1987,136,Thriller,5.3,12,T. Hariharan,Rajan Sippy,Parijat,Shashi Kapoor
Pratighaat,1987,164,"Action, Crime, Drama",7,71,N. Chandra,Sujata Mehta,Arvind Kumar,Charan Raj
Susman,1987,140,Drama,7.3,26,Shyam Benegal,Shabana Azmi,Om Puri,Kulbhushan Kharbanda
Pyaar Karke Dekho,1987,144,"Drama, Family",6.4,58,D. Rajendra Babu,Govinda,Mandakini,Kader Khan
Majaal,1987,180,Drama,5.1,32,K. Bapaiah,Sadashiv Amrapurkar,Vikas Anand,Asrani
Mr India,1987,179,"Action, Comedy, Drama",7.8,"14,451",Shekhar Kapur,Anil Kapoor,Sridevi,Amrish Puri
Kaamaagni,1987,134,"Drama, Music",4.6,7,Ashok Kumar,Sushma Ahuja,Tina Ambani,Leena Das
Dil Tujhko Diya,1987,127,Romance,5,22,Rakesh Kumar,Kumar Gaurav,Rati Agnihotri,Mala Sinha
Pyar Ke Kabil,1987,187,"Drama, Family, Romance",5.6,51,Anil Ganguly,Rishi Kapoor,Padmini Kolhapure,Asha Sachdev
Watan Ke Rakhwale,1987,149,"Action, Drama, Thriller",5.7,108,Rama Rao Tatineni,Sunil Dutt,Dharmendra,Mithun Chakraborty
Kaadhal Parisu,1987,143,"Drama, Romance",6.1,97,A. Jagannathan,Kamal Haasan,Radha,Ambika
Uttar Dakshin,1987,155,"Action, Drama",4.2,101,Prabhat Khanna,Rajinikanth,Jackie Shroff,Bharathi
Diljalaa,1987,140,"Action, Drama",5.1,23,Bapu,Jackie Shroff,Farha Naaz,Tanuja
Mohre,1987,104,"Drama, Mystery",5.3,75,Raghuvir Kul,Nana Patekar,Madhuri Dixit,Sadashiv Amrapurkar
Raat Ke Andhere Mein,1987,110,"Horror, Mystery",4.3,9,Vinod Talwar,Javed Khan,Deepika Chikhalia,Dipika
Itihaas,1987,138,"Drama, Family",5,34,V. Joshi,Raaj Kumar,Shabana Azmi,Rati Agnihotri
Deewana Tere Naam Ka,1987,97,"Drama, Romance",5,25,Deepak Bahry,Mithun Chakraborty,Vijayata Pandit,Danny Denzongpa
Mr X,1987,120,Fantasy,7,5,Khwaja Ahmad Abbas,Amol Palekar,Shabana Azmi,Tom Alter
Debshishu,1987,100,Drama,7.5,22,Utpalendu Chakrabarty,Bijoy Dey,Noni Ganguly,Rohini Hattangadi
Superman,1987,123,"Action, Adventure, Sci-Fi",4.5,301,B. Gupta,Puneet Issar,Sonia Sahni,Dharmendra
Ghar Ka Sukh,1987,94,"Drama, Family",6.6,11,Kalpataru,Shoma Anand,Bharat Bhushan,Sudhir Dalvi
Jaan Hatheli Pe,1987,160,Action,5.6,48,Raghunath Jhalani,Dharmendra,Jeetendra,Hema Malini
Jawab Hum Denge,1987,135,Action,5.6,37,Vijay Reddy,Jackie Shroff,Sridevi,Shatrughan Sinha
Mahananda,1987,130,Romance,7.6,21,Mohan Kavia,Moushumi Chatterjee,Farooq Shaikh,Shreeram Lagoo
Loha,1987,153,"Action, Drama, Thriller",6,217,Raj N. Sippy,Dharmendra,Shatrughan Sinha,Karan Kapoor
Thikana,1987,138,"Crime, Drama",5.5,76,Mahesh Bhatt,Smita Patil,Anil Kapoor,Amrita Singh
Param Dharam,1987,125,"Action, Crime, Drama",5.9,22,Swaroop Kumar,Rakesh Bedi,Mithun Chakraborty,Moushumi Chatterjee
Kaun Jeeta Kaun Haara,1987,119,"Comedy, Drama",5.9,29,Rakesh Kumar,Tinnu Anand,Amitabh Bachchan,Bhavana Balsawar
Jalwa,1987,134,"Action, Thriller",6.6,149,Pankaj Parashar,Naseeruddin Shah,Archana Puran Singh,Tejeshwar Singh
Hiraasat,1987,180,"Action, Crime, Drama",5.4,33,Surendra Mohan,Hema Malini,Shatrughan Sinha,Mithun Chakraborty
Muqaddar Ka Faisla,1987,171,"Action, Comedy, Drama",4.8,48,Prakash Mehra,Raaj Kumar,Rakhee Gulzar,Raj Babbar
Badhu Nirupama,1987,146,Drama,6.9,7,Jugal Debata,Isha Bebarta,Debu Bose,Anu Choudhury
Hukumat,1987,130,"Action, Drama",6.1,140,Anil Sharma,Dharmendra,Rati Agnihotri,Shammi Kapoor
Insaniyat Ke Dushman,1987,145,Action,4.6,52,Rajkumar Kohli,Dharmendra,Shatrughan Sinha,Anita Raj
Hifazat,1987,136,"Drama, Family",5.4,140,Prayag Raj,Ashok Kumar,Nutan,Anil Kapoor
Kudrat Ka Kanoon,1987,150,Mystery,5.1,46,K.C. Bokadia,S.A. Chandrashekhar,Beena Banerjee,Ramesh Deo
Aaj,1987,116,Drama,5.5,281,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
Dacait,1987,158,"Action, Drama",6.5,270,Rahul Rawail,Rakhee Gulzar,Sunny Deol,Meenakshi Sheshadri
Aag Hi Aag,1987,170,Action,5.3,93,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
Avam,1987,156,"Adventure, Mystery, Thriller",5.7,58,B.R. Chopra,Rajesh Khanna,Ashok Kumar,Smita Patil
Imaandaar,1987,152,"Action, Crime, Drama",5.4,62,Sushil Malik,Vikas Anand,Birbal,Chandrashekhar
Himmat Aur Mehanat,1987,137,"Action, Comedy, Drama",5,43,K. Bapaiah,Jeetendra,Sridevi,Asrani
7 Saal Baad,1987,127,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
Dance Dance,1987,153,"Action, Drama, Musical",6.1,267,Babbar Subhash,Mithun Chakraborty,Smita Patil,Mandakini
Naam O Nishan,1987,129,"Thriller, Action",4.3,34,Ajay Kashyap,Shashi Kapoor,Sanjay Dutt,Amrita Singh
Marte Dam Tak,1987,155,"Action, Drama",4.9,108,Mehul Kumar,Raaj Kumar,Govinda,Farha Naaz
Sindoor,1987,162,"Comedy, Drama",5.1,113,K. Ravi Shankar,Shashi Kapoor,Govinda,Neelam Kothari
Asli Naqli,1986,128,Drama,4.3,38,Sudarshan Nag,Shatrughan Sinha,Rajinikanth,Anita Raj
Dosti Dushmani,1986,152,"Action, Drama",5.7,71,Rama Rao Tatineni,Asrani,Bhanupriya,Poonam Dhillon
AllahRakha,1986,160,"Action, Drama",5.4,132,Ketan Desai,Jackie Shroff,Shammi Kapoor,Waheeda Rehman
Insaaf Ki Awaaz,1986,162,"Action, Drama",4.8,28,D. Rama Naidu,Rekha,Anil Kapoor,Richa Sharma
Sasti Dulhan Mahenga Dulha,1986,148,Drama,5.3,12,Bhappi Sonie,Mahesh Anand,Arun,Beena Banerjee
Suhagan,1986,143,Romance,6.1,43,K. Raghavendra Rao,Jeetendra,Sridevi,Padmini Kolhapure
Naseeb Apna Apna,1986,140,"Comedy, Drama",5.6,164,Rama Rao Tatineni,Rishi Kapoor,Farha Naaz,Radhika Sarathkumar
Mirch Masala,1986,128,"Drama, Thriller",7.7,"1,248",Ketan Mehta,Smita Patil,Naseeruddin Shah,Om Puri
Baat Ban Jaye,1986,148,Comedy,6.4,165,Bharat Rangachary,Zeenat Aman,Amol Palekar,Utpal Dutt
Ek Main Aur Ek Tu,1986,138,Romance,6.9,17,Ravi Tandon,Shashi Kapoor,Rubina,Tanuja
Genesis,1986,105,Drama,6.7,113,Mrinal Sen,Shabana Azmi,Naseeruddin Shah,Om Puri
New Delhi Times,1986,123,"Drama, Mystery",7.7,173,Romesh Sharma,Shashi Kapoor,Sharmila Tagore,Om Puri
Pyar Kiya Hai Pyar Karenge,1986,133,"Drama, Romance",3.6,37,Vijay Reddy,Anil Kapoor,Padmini Kolhapure,Anita Raj
Qatl,1986,141,"Mystery, Thriller",7,202,R.K. Nayyar,Sanjeev Kumar,Ranjeeta Kaur,Shatrughan Sinha
Rao Saheb,1986,123,"Comedy, Drama",5.7,7,Vijaya Mehta,Arvind Gadgil,Chandrakant Gokhale,Vasant Ingle
Palay Khan,1986,145,"Action, Thriller",6.5,48,Ashim S. Samanta,Jackie Shroff,Poonam Dhillon,Farha Naaz
Avinash,1986,171,"Action, Crime, Drama",6,44,Umesh Mehra,Mithun Chakraborty,Poonam Dhillon,Bindiya Goswami
Ek Chadar Maili Si,1986,133,Drama,7.1,124,Sukhwant Dhadda,Hema Malini,Rishi Kapoor,Poonam Dhillon
Ek Aur Sikander,1986,139,"Action, Drama",6.6,18,Bhaskar Shetty,Mithun Chakraborty,Anita Raj,Rakesh Roshan
TanBadan,1986,115,Drama,5.1,37,Anand,Govinda,Kushboo,Jyoti Patel
Kala Dhanda Goray Log,1986,158,"Drama, Family",5.7,35,Sanjay Khan,Sunil Dutt,Sanjay Khan,Anita Raj
Dharm Adhikari,1986,159,"Action, Comedy, Drama",5.8,94,K. Raghavendra Rao,M. Madhusudhana Rao,Dilip Kumar,Jeetendra
Samundar,1986,144,"Action, Crime, Drama",5.5,139,Rahul Rawail,Sunny Deol,Poonam Dhillon,Anupam Kher
Saveray Wali Gaadi,1986,135,Drama,6.2,58,Bharathiraja,Sunny Deol,Poonam Dhillon,Prem Chopra
Pyar Ke Do Pal,1986,130,"Action, Drama",6.2,50,Rajiv Mehra,Bindu,Mithun Chakraborty,Krishan Dhawan
Congregation,1986,140,Drama,6.5,15,Muzaffar Ali,Shabana Azmi,Farooq Shaikh,Rohini Hattangadi
Kirayadar,1986,146,"Comedy, Drama",6.3,79,Basu Chatterjee,Raj Babbar,Padmini Kolhapure,Utpal Dutt
Janbaaz,1986,175,"Action, Drama",6.2,662,Feroz Khan,Feroz Khan,Anil Kapoor,Dimple Kapadia
Babul,1986,162,Drama,4.8,9,Govind Moonis,Gyan Shivpuri,Upasna Singh,Kanchan Rawal
Kismetwala,1986,90,"Action, Drama",4.2,8,S.D. Narang,Mithun Chakraborty,Prem Chopra,Mohan Choti
Bhagwaan Dada,1986,147,"Drama, Thriller",4.3,169,J. Om Prakash,Rajinikanth,Rakesh Roshan,Sridevi
Ek Pal,1986,135,Drama,6.9,43,Kalpana Lajmi,Shabana Azmi,Naseeruddin Shah,Farooq Shaikh
Sajna Saath Nibhana,1986,132,Drama,4.1,9,Jwalamukhi,Danish Khan,Neelu,Nutan
Naam,1986,177,"Crime, Drama, Thriller",7.5,984,Mahesh Bhatt,Nutan,Kumar Gaurav,Sanjay Dutt
Haathon Ki Lakeeren,1986,139,"Musical, Drama, Family",7.3,42,Chetan Anand,Sanjeev Kumar,Zeenat Aman,Jackie Shroff
Vikram,1986,136,"Action, Adventure, Sci-Fi",7.3,504,Rajasekar,Kamal Haasan,Sathyaraj,Ambika
Mera Haque,1986,135,Action,4.7,36,Ajay Kashyap,Sanjay Dutt,Anita Raj,Gulshan Grover
Karma,1986,193,"Action, Adventure, Drama",7.4,"1,946",Subhash Ghai,Dilip Kumar,Nutan,Naseeruddin Shah
Andheri Raat Mein Diya Tere Haath Mein,1986,129,"Comedy, Drama",6.8,56,Dada Kondke,Dada Kondke,Usha Chavan,Dina Pathak
Massey Sahib,1986,118,Drama,7.2,105,Pradip Krishen,Raghuvir Yadav,Barry John,Arundhati Roy
Badkaar,1986,129,Drama,6.7,7,Shiv Kumar,Sanjeev Kumar,Apeksha,Sadhana Singh
Shatru,1986,157,"Action, Adventure, Crime",6.9,40,Pramod Chakravorty,Rajesh Khanna,Shabana,Ashok Kumar
Swati,1986,151,Drama,6.7,103,Kranthi Kumar,Shashi Kapoor,Sharmila Tagore,Meenakshi Sheshadri
Zinda Laash,1986,112,Drama,3.9,9,Manmohan Sabir,Aakash,Akashdeep,Birbal
Punnagai Mannan,1986,153,"Comedy, Drama, Romance",7.8,830,K. Balachander,Kamal Haasan,Revathi,Rekha
Shart,1986,134,"Drama, Mystery, Thriller",6.4,40,Ketan Anand,Naseeruddin Shah,Shabana Azmi,Kanwaljit Singh
Zindagani,1986,131,Drama,7.1,27,Prabhat Roy,Rakhee Gulzar,Mithun Chakraborty,Rati Agnihotri
Peechha Karro,1986,114,"Comedy, Thriller",6.4,150,Pankaj Parashar,Ravi Baswani,Birbal,Iftekhar
Khamosh,1986,101,"Mystery, Thriller",7.5,944,Vidhu Vinod Chopra,Shabana Azmi,Amol Palekar,Naseeruddin Shah
Chameli Ki Shaadi,1986,136,"Comedy, Drama, Romance",7.5,"1,580",Basu Chatterjee,Anil Kapoor,Amrita Singh,Om Prakash
Kondaveeti Raja,1986,140,"Action, Drama",6.3,304,K. Raghavendra Rao,Chiranjeevi,Mohan Babu,Satyanarayana Kaikala
Viduthalai,1986,148,Action,6.5,57,K. Vijayan,Shivaji Ganesan,Rajinikanth,Vishnuvardhan
Ankush,1986,149,"Action, Drama",7.5,398,N. Chandra,Nana Patekar,Rabia Amin,Gajanan Bangera
Aakhree Raasta,1986,164,"Action, Crime, Drama",7.1,"1,283",Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada
Muddat,1986,135,"Action, Comedy, Crime",6,48,K. Bapaiah,Sadashiv Amrapurkar,Vikas Anand,Asrani
Sheesha,1986,113,Drama,7.2,53,Basu Chatterjee,Mithun Chakraborty,Moon Moon Sen,Vijayendra Ghatge
Nagina,1986,137,"Fantasy, Romance",6.5,880,Harmesh Malhotra,Sridevi,Rishi Kapoor,Amrish Puri
Singhasan,1986,161,"Action, Adventure, Romance",5.1,14,Krishna Ghattamaneni,Bharat Bhushan,Leena Das,Gulshan Grover
Main Balwaan,1986,130,Drama,5.8,43,Mukul Anand,Dharmendra,Mithun Chakraborty,Meenakshi Sheshadri
Dilwaala,1986,160,"Action, Comedy, Drama",3.7,"1,134",K. Muralimohana Rao,Mithun Chakraborty,Smita Patil,Meenakshi Sheshadri
Jeeva,1986,123,"Action, Drama, Music",4.1,55,Raj N. Sippy,Sanjay Dutt,Mandakini,Amjad Khan
Dahleez,1986,161,"Action, Drama",5.3,50,Ravi Chopra,Jackie Shroff,Raj Babbar,Meenakshi Sheshadri
Amma,1986,135,Drama,6.2,11,Jiten,Rakhee Gulzar,Mithun Chakraborty,Suresh Oberoi
Africadalli Sheela,1986,134,"Adventure, Thriller",6.6,18,Deepak Balraj Vij,Anand Balraj,Sahila Chaddha,B.S. Dwarakish
Tahkhana,1986,117,"Action, Drama, Horror",5.4,169,Shyam Ramsay,Tulsi Ramsay,Rana Jung Bahadur,Hemant Birje
Gandhinagar 2nd Street,1986,137,"Comedy, Family, Romance",7.6,741,Sathyan Anthikad,Mohanlal,Karthika,Sreenivasan
Maa Beti,1986,151,Drama,5.1,19,Kalpataru,Shashi Kapoor,Meenakshi Sheshadri,Sharmila Tagore
Love 86,1986,145,"Drama, Romance",5.7,87,Esmayeel Shroff,Tanuja,Rohan Kapoor,Neelam Kothari
Captain Nagarjuna,1986,134,"Drama, Romance",6.5,13,Rajendra Prasad V.B.,Nagarjuna Akkineni,Kushboo,Dubbing Janaki
Nasihat,1986,139,"Action, Drama",5.1,32,Aravind Sen,Rajesh Khanna,Shabana Azmi,Deepti Naval
Amrit,1986,137,"Drama, Family",7,169,Mohan Kumar,Rajesh Khanna,Smita Patil,Aruna Irani
Car Thief,1986,150,Action,7,13,Sameer Malkan,Suneil Anand,Vijayata Pandit,Kevin Mukherji
Ilzaam,1986,164,"Drama, Family",6,95,Shibu Mitra,Shashi Kapoor,Shatrughan Sinha,Raj Kiran
Jappanil Kalyanaraman,1985,138,"Action, Comedy, Romance",6,121,S.P. Muthuraman,Kamal Haasan,Radha,Sathyaraj
Bhavani Junction,1985,128,"Action, Crime, Thriller",5.8,48,H. Dinesh,Shashi Kapoor,Shatrughan Sinha,Zeenat Aman
3D Saamri,1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
Aitbaar,1985,133,"Romance, Thriller",6.9,149,Mukul Anand,Raj Babbar,Dimple Kapadia,Danny Denzongpa
Sarfarosh,1985,157,Drama,5.2,37,Narayana Rao Dasari,Asrani,Kamini Bhatia,Bharat Bhushan
Bewafai,1985,145,"Drama, Romance",5.6,58,R. Thyagaraajan,Rajesh Khanna,Rajinikanth,Padmini Kolhapure
Ghulami,1985,199,"Action, Drama",7.2,474,J.P. Dutta,Dharmendra,Mithun Chakraborty,Naseeruddin Shah
Bhagwan Shri Krishna,1985,138,"Action, Adventure, Fantasy",6,10,Ramkumar Bohra,Ajit Bhalla,Kumud Bole,Manher Desai
Sanjog,1985,148,Drama,7,85,K. Viswanath,Jeetendra,Jaya Prada,Vinod Mehra
Trikal Past Present Future,1985,137,Drama,7,255,Shyam Benegal,Leela Naidu,Neena Gupta,Anita Kanwar
Arjun,1985,154,"Action, Crime, Drama",7.2,866,Rahul Rawail,Sunny Deol,Dimple Kapadia,Raj Kiran
Pyar Jhukta Nahin,1985,135,"Family, Romance",6.3,175,Vijay Sadanah,Mithun Chakraborty,Padmini Kolhapure,Danny Denzongpa
Ankahee,1985,135,Drama,7.1,109,Amol Palekar,Amol Palekar,Deepti Naval,Devika Mukherjee
Masterji,1985,178,"Comedy, Drama, Romance",6.5,95,K. Raghavendra Rao,Rajesh Khanna,Sridevi,Anita Raj
Balidaan,1985,137,"Action, Thriller",5.6,54,S.A. Chandrashekhar,Bindu,Anuradha,Vijay Arora
Triveni,1985,131,"Crime, Drama, Mystery",5.2,6,Rajan Thakur,Rati Agnihotri,Raj Babbar,Urmila Bhatt
Saaheb,1985,150,Drama,7.2,474,Anil Ganguly,Rakhee Gulzar,Anil Kapoor,Amrita Singh
Mati Manas,1985,92,"Documentary, Drama",7.7,42,Mani Kaul,Robin Das,Anita Kanwar,Ashok Sharma
Saagar,1985,186,"Drama, Romance",7.1,919,Ramesh Sippy,Rishi Kapoor,Kamal Haasan,Dimple Kapadia
Andha Oru Nimidam,1985,144,"Action, Crime, Drama",6.8,53,Major Sundarrajan,Kamal Haasan,Urvashi,Y.G. Mahendran
Jhoothi,1985,136,Comedy,6.6,129,Hrishikesh Mukherjee,Rekha,Raj Babbar,Amol Palekar
Karishma Kudrat Kaa,1985,185,"Action, Drama",6.1,57,Sunil Hingorani,Rati Agnihotri,Urmila Bhatt,Mithun Chakraborty
Faasle,1985,146,"Drama, Romance",4.5,64,Yash Chopra,Sunil Dutt,Rekha,Rohan Kapoor
Ram Tere Kitne Nam,1985,157,Drama,6,58,P. Madhavan,Sanjeev Kumar,Rekha,Prem Chopra
Teri Meherbaniyan,1985,140,"Action, Crime, Drama",5.4,236,Vijay Reddy,Jackie Shroff,Poonam Dhillon,Raj Kiran
Ram Teri Ganga Maili,1985,178,"Drama, Musical, Romance",6.7,962,Raj Kapoor,Rajiv Kapoor,Mandakini,Divya Rana
Ramkali,1985,141,Action,5.4,12,Shyam Ralhan,Hema Malini,Shatrughan Sinha,Nirupa Roy
Babula,1985,129,"Drama, Sci-Fi",5.9,10,Sadhu Meher,Debu Bramha,Anita Das,Gadi
Telephone,1985,116,Thriller,6.3,27,Shyam Ramsay,Tulsi Ramsay,Shatrughan Sinha,Parveen Babi
Babu,1985,148,"Drama, Family",7.1,64,A.C. Trilogchander,Rajesh Khanna,Hema Malini,Mala Sinha
Hum Dono,1985,156,"Comedy, Family, Musical",6.6,56,B.S. Glaad,Rajesh Khanna,Hema Malini,Reena Roy
Geraftaar,1985,167,"Action, Drama",6.1,435,Prayag Raj,Kamal Haasan,Poonam Dhillon,Madhavi
Ghar Dwaar,1985,153,Drama,7.1,42,Kalpataru,Tanuja,Sachin Pilgaonkar,Raj Kiran
Bahu Ki Awaaz,1985,147,Drama,6.3,16,Shashilal K. Nair,Vikas Anand,Bharat Bhushan,B.L. Chopra
Alag Alag,1985,174,"Family, Musical, Romance",6.4,86,Shakti Samanta,Rajesh Khanna,Shashi Kapoor,Tina Ambani
Tawaif,1985,160,"Comedy, Drama, Romance",7.1,104,B.R. Chopra,Ashok Kumar,Rishi Kapoor,Rati Agnihotri
Pyari Behna,1985,136,"Action, Comedy, Drama",6.8,70,Bapu,Mithun Chakraborty,Padmini Kolhapure,Tanvi Azmi
Bepanaah,1985,156,"Drama, Family",6.2,42,Jagdish Sidana,Shashi Kapoor,Mithun Chakraborty,Poonam Dhillon
Mard,1985,177,"Action, Drama, Romance",6.2,"1,604",Manmohan Desai,Amitabh Bachchan,Amrita Singh,Nirupa Roy
Ek Daku Saher Mein,1985,133,Action,3.8,5,Kalidas,Ashok Kumar,Pradeep Kumar,Suresh Oberoi
Ek Chitthi Pyar Bhari,1985,139,Drama,6.6,14,Vijay Sadanah,Raj Babbar,Reena Roy,Agha
Karmyudh,1985,130,Action,4.4,16,Swaroop Kumar,Mithun Chakraborty,Anita Raj,Pran
Padikkathavan,1985,129,Drama,7.1,346,Rajasekar,Rajinikanth,Ambika,Vijay Babu
Maa Kasam,1985,137,Action,4.4,28,Shibu Mitra,Mithun Chakraborty,Divya Rana,Ranjeet
Mera Saathi,1985,140,Drama,4.9,14,K. Raghavendra Rao,Jeetendra,Jaya Prada,Rajiv Kapoor
Paththar,1985,109,Crime,4.6,15,Deepak Bahry,Om Puri,Anuradha Patel,Deepika Chikhalia
Adventures of Tarzan,1985,135,"Action, Adventure, Comedy",4.6,140,Babbar Subhash,Kimi Katkar,Dalip Tahil,Om Shivpuri
Sur Sangam,1985,149,"Comedy, Drama, Musical",6.8,45,K. Viswanath,Girish Karnad,Jaya Prada,Sachin Pilgaonkar
Zamana,1985,154,"Action, Crime, Drama",6.3,47,Ramesh Talwar,Rajesh Khanna,Rishi Kapoor,Poonam Dhillon
Maha Shaktimaan,1985,109,"Action, Adventure, Fantasy",6.4,16,Swamy V.S.R.,Raj Babbar,Meenakshi Sheshadri,Kim
Piya Milan,1985,132,Drama,8.3,7,K.P. Singh,Mohan Choti,C.S. Dubey,Satish Kaul
Shiva Ka Insaaf,1985,125,"Action, Adventure, Fantasy",4.6,49,Raj N. Sippy,Jackie Shroff,Poonam Dhillon,Vinod Mehra
Pataal Bhairavi,1985,148,"Fantasy, Drama",5.7,72,K. Bapaiah,Jeetendra,Jaya Prada,Pran
Kuk Doo Koo,1985,107,Comedy,8.5,6,Parvati Menon,Chetan Hansraj,Laxmi Aishwarya,Aditya Gupte
Wafadaar,1985,190,"Comedy, Drama",4.5,31,Narayana Rao Dasari,Pilla Srinivas,Rajinikanth,Padmini Kolhapure
Paroma,1985,139,Drama,6.6,160,Aparna Sen,Rakhee Gulzar,Aparna Sen,Mukul Sharma
Aar Paar,1985,125,Action,6.1,44,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt
